HOT9,YJコード,漢方薬名
110207901,5200075D1035,小青竜湯
110209301,5200075D1051,小青竜湯
110210902,5200075D1060,小青竜湯
115957801,5200075D1078,小青竜湯
110212301,5200075D1086,小青竜湯
110213001,5200075D1094,ショウセイリュウトウ
110215401,5200075D1116,小青龍湯
110216101,5200075F1028,小青竜湯(しょうせいりゅうとう)
110217801,5200075F1052,小青竜湯
110219201,5200076C1034,小半夏加茯苓湯
110218501,5200076C1050,小半夏加茯苓湯
110221501,5200076D1030,小半夏加茯苓湯
110222201,5200076D1048,ショウハンゲカブクリョウトウ
110223901,5200076D1056,小半夏加茯苓湯
110224601,5200076D1064,小半夏加茯苓湯（しょうはんげかぶくりょうとう）
110225301,5200077C1020,消風散
110226001,5200077D1026,消風散（しょうふうさん）
110227701,5200077D1034,消風散
110229101,5200078D1020,升麻葛根湯
110230701,5200079C1020,四苓湯（しれいとう）
110232101,5200080C1030,辛夷清肺湯
110231401,5200080C1049,辛夷清肺湯
110233801,5200080D1028,辛夷清肺湯（しんいせいはいとう）
110234501,5200080D1044,辛夷清肺湯
115958501,5200081D1022,参蘇飲
110236901,5200081D1030,参蘇飲
110238301,5200082C1030,神秘湯
110237601,5200082C1056,神秘湯
110240601,5200082D1027,神秘湯（しんぴとう）
115928801,5200082D1035,神秘湯
110242001,5200082D1043,神秘湯
110243701,5200082D1051,神秘湯
110244401,5200083C1026,真武湯
110245101,5200083C1034,真武湯
110246801,5200083D1021,真武湯
110247501,5200083D1030,真武湯
110248201,5200084D1026,清上防風湯（せいじょうぼうふうとう）
110249901,5200084D1034,清上防風湯
110250501,5200085D1020,清暑益気湯
110251202,5200086C1020,清心蓮子飲（せいしんれんしいん）
115929502,5200086D1025,清心蓮子飲
110254301,5200086D1033,清心蓮子飲
110255001,5200087D1020,清肺湯
110256701,5200088D1024,川きゅう茶調散(せんきゅうちゃちょうさん)
110257401,5200088D1032,川きゅう茶調散
110258101,5200089D1029,疎経活血湯（そけいかっけつとう）
115959201,5200089D1037,疎経活血湯
110260401,5200089D1045,疎経活血湯
110261101,5200090D1021,大黄甘草湯（だいおうかんぞうとう）
110262801,5200090D1030,大黄甘草湯
110263501,5200090F1022,大黄甘草湯(だいおうかんぞうとう)
110264201,5200091C1020,大黄牡丹皮湯
110265901,5200091D1026,大黄牡丹皮湯
110266601,5200091D1034,ダイオウボタンピトウ
110267301,5200092C1025,大建中湯
110268001,5200092D1020,大建中湯
110271001,5200093C1038,大柴胡湯
110272701,5200093C1046,大柴胡湯
110273402,5200093C1054,大柴胡湯（だいさいことう）
110270301,5200093C1070,大柴胡湯
110275801,5200093D1025,大柴胡湯（だいさいことう）
113401801,5200093D1033,大柴胡湯
110276502,5200093D1041,大柴胡湯
115960801,5200093D1068,大柴胡湯
110280201,5200093D1092,大柴胡湯
110281901,5200093D1106,ダイサイコトウ
110283301,5200093D1122,大柴胡湯
110284001,5200093D1130,大柴胡湯
113402504,5200093D1149,大柴胡湯
110285701,5200093F1026,大柴胡湯(だいさいことう)
110286401,5200093F1069,大柴胡湯
110288801,5200094C1024,大柴胡湯去大黄
110289501,5200094C1032,大柴胡去大黄湯
110290101,5200095C1029,大承気湯
110291801,5200095D1024,大承気湯
110292501,5200096C1023,大防風湯
110293201,5200096D1029,大防風湯
110294901,5200097D1023,竹じょ温胆湯
110295601,5200098D1028,治打撲一方
110296301,5200099D1022,治頭瘡一方
110297001,5200100D1027,調胃承気湯
115930102,5200101D1021,釣藤散
110299401,5200101D1030,釣藤散
110300701,5200101D1048,釣藤散
110301401,5200102C1020,腸癰湯
110304502,5200103C1033,猪苓湯
110305201,5200103C1041,猪苓湯
110303801,5200103C1092,猪苓湯
110308301,5200103D1020,猪苓湯（ちょれいとう）
110309001,5200103D1039,猪苓湯
110310602,5200103D1047,猪苓湯
115985101,5200103D1063,猪苓湯
110313701,5200103D1098,猪苓湯
110314401,5200103D1101,猪苓湯
110315101,5200103D1110,チョレイトウ
110317501,5200103D1144,猪苓湯
110318201,5200103D1152,猪苓湯
110320501,5200104D1025,猪苓湯合四物湯
110321201,5200105C1024,通導散
115961501,5200105D1020,通導散
110323601,5200105D1038,通導散
110326701,5200106C1037,桃核承気湯
110327402,5200106C1045,桃核承気湯（とうかくじょうきとう）
110325001,5200106C1053,桃核承気湯
110328101,5200106D1024,桃核承気湯（とうかくじょうきとう）
110330402,5200106D1040,桃核承気湯
110331101,5200106D1059,桃核承気湯
110332801,5200106D1067,トウカクジョウキトウ
110333501,5200106D1091,桃核承気湯
110334201,5200106F1041,桃核承気湯
110335901,5200107D1029,当帰湯
110336601,5200108D1023,当帰飲子
110338001,5200109D1028,当帰建中湯
110340301,5200110C1033,当帰四逆加呉茱萸生姜湯
110339701,5200110C1041,当帰四逆加呉茱萸生姜湯
110341001,5200110D1020,当帰四逆加呉茱萸生姜湯（とうきしぎゃくかごしゅゆしょうきょうとう）
